#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve260_HFJEC_v6,0.436403975,0.420688731
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve260_HFJEC_v6,0.080810141,0.079727835
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve260_HFJEC_v6,0.460166083,0.446076940
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve260_HFJEC_v6,0.557740932,0.529987228
379866:9559,04/23/24 20:37:55,1347,HLT_DiPFJetAve260_HFJEC_v6,0.282317013,0.274846900
379984:9562,04/25/24 11:47:58,913,HLT_DiPFJetAve260_HFJEC_v6,0.239496848,0.232848100
380001:9564,04/25/24 20:39:17,691,HLT_DiPFJetAve260_HFJEC_v6,0.240209574,0.231830483
380005:9565,04/26/24 03:10:19,1062,HLT_DiPFJetAve260_HFJEC_v6,0.368833019,0.353536384
380007:9565,04/26/24 10:12:08,129,HLT_DiPFJetAve260_HFJEC_v6,0.037005951,0.035178888
380029:9566,04/26/24 15:02:20,55,HLT_DiPFJetAve260_HFJEC_v6,0.011268058,0.010387435
380030:9566,04/26/24 15:37:30,346,HLT_DiPFJetAve260_HFJEC_v6,0.146323394,0.138848435
380032:9566,04/26/24 19:11:02,19,HLT_DiPFJetAve260_HFJEC_v6,0.007326713,0.006891669
380033:9566,04/26/24 19:21:25,53,HLT_DiPFJetAve260_HFJEC_v6,0.020904664,0.019948303
380043:9567,04/26/24 22:44:31,900,HLT_DiPFJetAve260_HFJEC_v6,0.360928718,0.343330821
380049:9568,04/27/24 07:10:37,871,HLT_DiPFJetAve260_HFJEC_v6,0.354756046,0.334706934
380051:9568,04/27/24 12:55:48,735,HLT_DiPFJetAve260_HFJEC_v6,0.226861352,0.218611685
380052:9568,04/27/24 17:45:43,12,HLT_DiPFJetAve260_HFJEC_v6,0.003076304,0.002876220
380053:9568,04/27/24 17:57:47,128,HLT_DiPFJetAve260_HFJEC_v6,0.031645991,0.030658378
380056:9568,04/27/24 18:55:05,168,HLT_DiPFJetAve260_HFJEC_v6,0.037300450,0.035874233
380066:9569,04/27/24 22:17:19,552,HLT_DiPFJetAve260_HFJEC_v6,0.221529184,0.210832262
380074:9570,04/28/24 06:24:04,1306,HLT_DiPFJetAve260_HFJEC_v6,0.488723049,0.467767458
380115:9573,04/29/24 09:42:28,1792,HLT_DiPFJetAve260_HFJEC_v6,0.634849067,0.610061044
380195:9575,04/30/24 23:30:14,7,HLT_DiPFJetAve260_HFJEC_v6,0.003203024,0.002943249
380197:9575,05/01/24 00:09:50,357,HLT_DiPFJetAve260_HFJEC_v6,0.164309292,0.155412686
380235:9579,05/01/24 17:29:48,256,HLT_DiPFJetAve260_HFJEC_v6,0.102251889,0.095800937
380236:9579,05/01/24 19:12:09,57,HLT_DiPFJetAve260_HFJEC_v6,0.026240772,0.023446994
379613:9537,04/18/24 03:20:17,120,HLT_DiPFJetAve260_HFJEC_v7,0.031984748,0.030215392
379617:9537,04/18/24 04:23:35,664,HLT_DiPFJetAve260_HFJEC_v7,0.225950277,0.212173331
380306:9585,05/02/24 19:54:33,246,HLT_DiPFJetAve260_HFJEC_v7,0.098996363,0.091637427
380308:9585,05/02/24 21:44:38,35,HLT_DiPFJetAve260_HFJEC_v7,0.016105719,0.013512556
380309:9585,05/02/24 22:01:23,351,HLT_DiPFJetAve260_HFJEC_v7,0.161127170,0.149907124
380310:9585,05/03/24 00:19:19,1131,HLT_DiPFJetAve260_HFJEC_v7,0.382648453,0.369739147
380346:9593,05/03/24 16:31:34,566,HLT_DiPFJetAve260_HFJEC_v7,0.242352693,0.227595311
380348:9593,05/03/24 20:21:15,341,HLT_DiPFJetAve260_HFJEC_v7,0.137391317,0.130333030
380349:9593,05/03/24 22:39:04,695,HLT_DiPFJetAve260_HFJEC_v7,0.212080206,0.205558384
380360:9594,05/04/24 06:56:16,1928,HLT_DiPFJetAve260_HFJEC_v7,0.680871385,0.655327190
380377:9602,05/04/24 23:50:36,420,HLT_DiPFJetAve260_HFJEC_v7,0.179815128,0.170021948
380384:9603,05/05/24 06:57:47,751,HLT_DiPFJetAve260_HFJEC_v7,0.328775268,0.311374383
380385:9603,05/05/24 11:54:10,1247,HLT_DiPFJetAve260_HFJEC_v7,0.395580991,0.381880031
380399:9604,05/05/24 23:17:17,494,HLT_DiPFJetAve260_HFJEC_v7,0.208244994,0.198066744
380403:9604,05/06/24 03:21:24,251,HLT_DiPFJetAve260_HFJEC_v7,0.106418496,0.101433755
380444:9605,05/06/24 15:21:13,325,HLT_DiPFJetAve260_HFJEC_v7,0.144634331,0.134492556
380446:9605,05/06/24 17:33:05,1028,HLT_DiPFJetAve260_HFJEC_v7,0.410434102,0.393104930
380447:9605,05/07/24 00:20:05,810,HLT_DiPFJetAve260_HFJEC_v7,0.208137319,0.203316370
380466:9606,05/07/24 09:21:16,504,HLT_DiPFJetAve260_HFJEC_v7,0.218473216,0.202863861
380470:9606,05/07/24 13:06:34,1634,HLT_DiPFJetAve260_HFJEC_v7,0.523962227,0.508126600
380481:9608,05/08/24 05:37:58,860,HLT_DiPFJetAve260_HFJEC_v7,0.375790031,0.354526675
380513:9609,05/08/24 20:35:34,1158,HLT_DiPFJetAve260_HFJEC_v7,0.488104718,0.463659292
380517:9609,05/09/24 04:20:58,39,HLT_DiPFJetAve260_HFJEC_v7,0.013272158,0.012564357
380531:9610,05/09/24 07:02:24,1023,HLT_DiPFJetAve260_HFJEC_v7,0.438577550,0.412963000
380534:9610,05/09/24 13:56:20,746,HLT_DiPFJetAve260_HFJEC_v7,0.226270285,0.219694281
380537:9610,05/09/24 19:09:12,58,HLT_DiPFJetAve260_HFJEC_v7,0.014321158,0.013808230
380538:9610,05/09/24 19:36:56,144,HLT_DiPFJetAve260_HFJEC_v7,0.032444749,0.031779333
380564:9611,05/09/24 23:47:54,742,HLT_DiPFJetAve260_HFJEC_v7,0.326378483,0.308264514
380567:9611,05/10/24 04:54:24,1081,HLT_DiPFJetAve260_HFJEC_v7,0.341134205,0.331445292
380623:9614,05/11/24 20:40:52,388,HLT_DiPFJetAve260_HFJEC_v7,0.164093400,0.154038705
380624:9614,05/11/24 23:16:57,809,HLT_DiPFJetAve260_HFJEC_v7,0.329971193,0.314444173
380625:9614,05/12/24 04:34:00,7,HLT_DiPFJetAve260_HFJEC_v7,0.002301493,0.002141493
380626:9614,05/12/24 04:39:38,14,HLT_DiPFJetAve260_HFJEC_v7,0.004557621,0.004222935
380627:9614,05/12/24 04:48:42,808,HLT_DiPFJetAve260_HFJEC_v7,0.218495979,0.213490065
380647:9618,05/12/24 22:28:59,375,HLT_DiPFJetAve260_HFJEC_v7,0.163991139,0.148849042
380649:9618,05/13/24 01:56:15,401,HLT_DiPFJetAve260_HFJEC_v7,0.168912668,0.159359458
380933:9651,05/19/24 16:19:32,773,HLT_DiPFJetAve260_HFJEC_v7,0.012026086,0.011886862
380945:9653,05/20/24 06:39:35,245,HLT_DiPFJetAve260_HFJEC_v7,0.100661698,0.094984174
380947:9653,05/20/24 11:38:49,823,HLT_DiPFJetAve260_HFJEC_v7,0.264397583,0.256442339
381113:9664,05/23/24 18:23:22,234,HLT_DiPFJetAve260_HFJEC_v8,0.092434003,0.087341334
380963:9654,05/20/24 20:42:43,922,HLT_DiPFJetAve260_HFJEC_v8,0.371882883,0.354684763
381022:9659,05/21/24 23:53:15,586,HLT_DiPFJetAve260_HFJEC_v8,0.214167437,0.202525362
381053:9661,05/22/24 09:14:55,108,HLT_DiPFJetAve260_HFJEC_v8,0.033847071,0.032355940
381065:9662,05/22/24 12:16:48,791,HLT_DiPFJetAve260_HFJEC_v8,0.350896167,0.328507047
381067:9662,05/22/24 17:33:10,313,HLT_DiPFJetAve260_HFJEC_v8,0.123704477,0.118856628
381069:9662,05/22/24 20:20:02,307,HLT_DiPFJetAve260_HFJEC_v8,0.098575098,0.093564541
381070:9662,05/22/24 22:21:18,425,HLT_DiPFJetAve260_HFJEC_v8,0.115851656,0.113297764
381075:9663,05/23/24 03:44:42,426,HLT_DiPFJetAve260_HFJEC_v8,0.184056378,0.173486014
381078:9663,05/23/24 06:53:58,334,HLT_DiPFJetAve260_HFJEC_v8,0.144260754,0.134776654
381079:9663,05/23/24 09:06:56,396,HLT_DiPFJetAve260_HFJEC_v8,0.139029667,0.132526351
381080:9663,05/23/24 11:44:26,336,HLT_DiPFJetAve260_HFJEC_v8,0.098391363,0.094322214
381114:9664,05/23/24 20:11:10,458,HLT_DiPFJetAve260_HFJEC_v8,0.210547463,0.196903116
381115:9664,05/23/24 23:12:32,1294,HLT_DiPFJetAve260_HFJEC_v8,0.407971763,0.395036440
381147:9666,05/24/24 11:18:29,186,HLT_DiPFJetAve260_HFJEC_v8,0.075376924,0.070591424
381148:9666,05/24/24 12:38:03,264,HLT_DiPFJetAve260_HFJEC_v8,0.124192747,0.116128225
381149:9666,05/24/24 14:31:15,133,HLT_DiPFJetAve260_HFJEC_v8,0.062432824,0.058211305
381150:9666,05/24/24 15:25:36,41,HLT_DiPFJetAve260_HFJEC_v8,0.018716958,0.017518065
381151:9666,05/24/24 15:45:18,851,HLT_DiPFJetAve260_HFJEC_v8,0.305241806,0.290881692
381152:9666,05/24/24 21:19:14,193,HLT_DiPFJetAve260_HFJEC_v8,0.052703735,0.051063315
381164:9667,05/25/24 00:51:30,1151,HLT_DiPFJetAve260_HFJEC_v8,0.518979491,0.485292849
381190:9670,05/25/24 13:16:44,1098,HLT_DiPFJetAve260_HFJEC_v8,0.493326905,0.461764142
381191:9670,05/25/24 20:25:58,1121,HLT_DiPFJetAve260_HFJEC_v8,0.335609512,0.325475207
381199:9672,05/26/24 09:25:18,150,HLT_DiPFJetAve260_HFJEC_v8,0.056764611,0.052696453
381212:9674,05/27/24 04:02:15,372,HLT_DiPFJetAve260_HFJEC_v8,0.167162649,0.156737286
381286:9677,05/27/24 16:09:15,711,HLT_DiPFJetAve260_HFJEC_v8,0.325922761,0.301259101
381309:9680,05/28/24 06:47:14,425,HLT_DiPFJetAve260_HFJEC_v8,0.192311089,0.180774982
381358:9683,05/28/24 18:58:02,3,HLT_DiPFJetAve260_HFJEC_v8,0.000643621,0.000455269
381364:9684,05/28/24 21:34:05,427,HLT_DiPFJetAve260_HFJEC_v8,0.188112319,0.174136277
381365:9684,05/29/24 00:22:44,595,HLT_DiPFJetAve260_HFJEC_v8,0.272032982,0.254549629
381371:9686,05/29/24 06:46:06,194,HLT_DiPFJetAve260_HFJEC_v8,0.079068585,0.074841393
381379:9687,05/29/24 10:50:00,833,HLT_DiPFJetAve260_HFJEC_v8,0.375679298,0.350270414
381380:9687,05/29/24 16:17:34,1354,HLT_DiPFJetAve260_HFJEC_v8,0.411026631,0.398051423
381384:9691,05/30/24 05:24:04,3482,HLT_DiPFJetAve260_HFJEC_v8,1.047219727,1.003791187
381417:9694,05/31/24 13:50:23,1788,HLT_DiPFJetAve260_HFJEC_v8,0.713134575,0.675451268
381443:9696,06/01/24 12:16:15,1517,HLT_DiPFJetAve260_HFJEC_v8,0.620722355,0.587004433
381477:9700,06/02/24 11:50:04,278,HLT_DiPFJetAve260_HFJEC_v8,0.116849585,0.110046666
381479:9700,06/02/24 13:58:03,434,HLT_DiPFJetAve260_HFJEC_v8,0.204504526,0.191926418
381480:9700,06/02/24 16:48:38,1268,HLT_DiPFJetAve260_HFJEC_v8,0.419249073,0.403416463
381484:9701,06/03/24 03:15:04,820,HLT_DiPFJetAve260_HFJEC_v8,0.374195444,0.349895653
381499:9705,06/03/24 16:18:24,195,HLT_DiPFJetAve260_HFJEC_v8,0.078658217,0.073385101
381500:9705,06/03/24 17:37:39,92,HLT_DiPFJetAve260_HFJEC_v8,0.043431846,0.039486604
381515:9707,06/03/24 22:01:00,514,HLT_DiPFJetAve260_HFJEC_v8,0.232288512,0.213977058
381516:9707,06/04/24 01:22:53,1672,HLT_DiPFJetAve260_HFJEC_v8,0.584339399,0.556022778
381543:9708,06/04/24 14:37:55,512,HLT_DiPFJetAve260_HFJEC_v8,0.235680806,0.221277706
381544:9708,06/04/24 18:12:43,1970,HLT_DiPFJetAve260_HFJEC_v8,0.638592833,0.614665462
382229:9806,06/20/24 09:39:20,313,HLT_DiPFJetAve260_HFJEC_v9,0.024005971,0.022671261
382250:9808,06/20/24 16:24:45,890,HLT_DiPFJetAve260_HFJEC_v9,0.224867350,0.215259687
382255:9810,06/21/24 04:47:31,97,HLT_DiPFJetAve260_HFJEC_v9,0.030850582,0.028324787
382256:9810,06/21/24 05:26:51,67,HLT_DiPFJetAve260_HFJEC_v9,0.031184020,0.027662524
382257:9810,06/21/24 06:11:04,70,HLT_DiPFJetAve260_HFJEC_v9,0.032581297,0.029028122
382258:9810,06/21/24 06:41:16,1147,HLT_DiPFJetAve260_HFJEC_v9,0.500142997,0.479563173
382262:9810,06/21/24 14:31:56,253,HLT_DiPFJetAve260_HFJEC_v9,0.079528721,0.076706921
382298:9812,06/21/24 19:39:36,53,HLT_DiPFJetAve260_HFJEC_v9,0.014819054,0.014301652
382299:9812,06/21/24 20:38:11,808,HLT_DiPFJetAve260_HFJEC_v9,0.385782161,0.356402352
382300:9812,06/22/24 01:55:26,1186,HLT_DiPFJetAve260_HFJEC_v9,0.383863057,0.371886154
382313:9813,06/22/24 11:50:52,389,HLT_DiPFJetAve260_HFJEC_v9,0.174823068,0.166462369
382314:9813,06/22/24 14:26:01,295,HLT_DiPFJetAve260_HFJEC_v9,0.141770816,0.134388475
382328:9816,06/22/24 22:38:19,90,HLT_DiPFJetAve260_HFJEC_v9,0.034044938,0.031049599
382329:9816,06/22/24 23:16:38,150,HLT_DiPFJetAve260_HFJEC_v9,0.072058046,0.067790752
382343:9819,06/23/24 13:01:16,2208,HLT_DiPFJetAve260_HFJEC_v9,0.987462989,0.930649443
382344:9819,06/24/24 03:22:08,355,HLT_DiPFJetAve260_HFJEC_v9,0.129242766,0.124753402
382504:9832,06/27/24 14:22:09,349,HLT_DiPFJetAve260_HFJEC_v9,0.152199034,0.144103336
382568:9838,06/28/24 23:55:16,406,HLT_DiPFJetAve260_HFJEC_v9,0.180278708,0.169846637
382580:9840,06/29/24 07:43:50,1711,HLT_DiPFJetAve260_HFJEC_v9,0.715948133,0.682358278
382594:9842,06/30/24 02:29:05,1406,HLT_DiPFJetAve260_HFJEC_v9,0.621031853,0.591226943
382595:9842,06/30/24 11:37:12,854,HLT_DiPFJetAve260_HFJEC_v9,0.256700683,0.248816036
382617:9843,06/30/24 19:33:03,701,HLT_DiPFJetAve260_HFJEC_v9,0.305486275,0.291525750
382626:9846,07/01/24 07:24:48,359,HLT_DiPFJetAve260_HFJEC_v9,0.161094620,0.151890989
382649:9848,07/01/24 14:36:50,482,HLT_DiPFJetAve260_HFJEC_v9,0.217554376,0.198646374
382650:9848,07/01/24 17:47:17,234,HLT_DiPFJetAve260_HFJEC_v9,0.113407987,0.107561022
382654:9849,07/01/24 21:54:59,1641,HLT_DiPFJetAve260_HFJEC_v9,0.744707006,0.700935050
382655:9849,07/02/24 08:36:08,394,HLT_DiPFJetAve260_HFJEC_v9,0.127167076,0.122715377
382656:9849,07/02/24 11:12:31,294,HLT_DiPFJetAve260_HFJEC_v9,0.079482821,0.076842128
382679:9851,07/02/24 21:51:44,71,HLT_DiPFJetAve260_HFJEC_v9,0.020696545,0.020178979
382684:9852,07/03/24 00:51:55,1164,HLT_DiPFJetAve260_HFJEC_v9,0.545621758,0.510844963
382685:9852,07/03/24 08:26:34,482,HLT_DiPFJetAve260_HFJEC_v9,0.180148913,0.172941214
382686:9852,07/03/24 11:40:25,141,HLT_DiPFJetAve260_HFJEC_v9,0.043916510,0.042603430
382725:9857,07/03/24 21:33:58,369,HLT_DiPFJetAve260_HFJEC_v9,0.164112535,0.154024645
382729:9859,07/04/24 06:43:25,55,HLT_DiPFJetAve260_HFJEC_v9,0.015824445,0.014847128
382730:9859,07/04/24 07:13:29,52,HLT_DiPFJetAve260_HFJEC_v9,0.023610874,0.021894200
382750:9860,07/04/24 11:35:32,530,HLT_DiPFJetAve260_HFJEC_v9,0.248290502,0.231928138
382752:9860,07/04/24 15:08:42,709,HLT_DiPFJetAve260_HFJEC_v9,0.332578266,0.315012442
382769:9861,07/05/24 00:19:42,1534,HLT_DiPFJetAve260_HFJEC_v9,0.667559727,0.631212004
382770:9861,07/05/24 10:19:22,586,HLT_DiPFJetAve260_HFJEC_v9,0.165081857,0.160030453
382791:9862,07/05/24 17:32:53,105,HLT_DiPFJetAve260_HFJEC_v9,0.031593998,0.029852900
382792:9862,07/05/24 18:18:12,80,HLT_DiPFJetAve260_HFJEC_v9,0.038603059,0.030994191
382794:9862,07/05/24 18:54:44,14,HLT_DiPFJetAve260_HFJEC_v9,0.006763113,0.005171174
382795:9862,07/05/24 19:03:19,474,HLT_DiPFJetAve260_HFJEC_v9,0.229170152,0.214774625
382799:9864,07/06/24 01:44:41,615,HLT_DiPFJetAve260_HFJEC_v9,0.275874634,0.259567856
382810:9865,07/06/24 09:09:34,70,HLT_DiPFJetAve260_HFJEC_v9,0.018759648,0.017842507
382811:9865,07/06/24 09:42:19,396,HLT_DiPFJetAve260_HFJEC_v9,0.191173862,0.178714387
382830:9867,07/06/24 23:56:53,75,HLT_DiPFJetAve260_HFJEC_v9,0.023055023,0.022208021
382834:9869,07/07/24 04:03:04,763,HLT_DiPFJetAve260_HFJEC_v9,0.352518652,0.329700642
382856:9871,07/07/24 12:22:27,421,HLT_DiPFJetAve260_HFJEC_v9,0.193647732,0.179581798
382878:9873,07/07/24 20:54:09,853,HLT_DiPFJetAve260_HFJEC_v9,0.397912356,0.373768966
382913:9877,07/08/24 14:41:36,2287,HLT_DiPFJetAve260_HFJEC_v9,0.874063783,0.831199243
382922:9878,07/09/24 16:44:19,83,HLT_DiPFJetAve260_HFJEC_v9,0.033677648,0.028906804
382924:9878,07/09/24 17:25:22,247,HLT_DiPFJetAve260_HFJEC_v9,0.090267878,0.086471024
382937:9879,07/09/24 21:42:48,473,HLT_DiPFJetAve260_HFJEC_v9,0.217546990,0.205299521
382960:9883,07/10/24 07:52:18,564,HLT_DiPFJetAve260_HFJEC_v9,0.261250864,0.243944879
383028:9885,07/11/24 01:48:44,89,HLT_DiPFJetAve260_HFJEC_v9,0.033109953,0.031053561
383034:9886,07/11/24 05:08:29,666,HLT_DiPFJetAve260_HFJEC_v9,0.311394379,0.288638284
383036:9886,07/11/24 09:34:23,58,HLT_DiPFJetAve260_HFJEC_v9,0.027970367,0.025656419
383134:9891,07/12/24 19:19:21,110,HLT_DiPFJetAve260_HFJEC_v9,0.007794196,0.007549401
383153:9896,07/13/24 10:30:17,194,HLT_DiPFJetAve260_HFJEC_v9,0.082377058,0.066165714
383155:9896,07/13/24 11:58:32,1854,HLT_DiPFJetAve260_HFJEC_v9,0.771148582,0.729941648
383162:9899,07/14/24 03:43:21,1528,HLT_DiPFJetAve260_HFJEC_v9,0.706229040,0.668527240
383163:9899,07/14/24 13:49:37,514,HLT_DiPFJetAve260_HFJEC_v9,0.164620921,0.158275728
383173:9900,07/14/24 19:48:15,929,HLT_DiPFJetAve260_HFJEC_v9,0.440114633,0.412650456
383174:9900,07/15/24 01:54:31,1024,HLT_DiPFJetAve260_HFJEC_v9,0.393103891,0.368388200
383175:9900,07/15/24 08:35:34,158,HLT_DiPFJetAve260_HFJEC_v9,0.042292331,0.039568584
383247:9904,07/15/24 23:52:58,108,HLT_DiPFJetAve260_HFJEC_v9,0.041872151,0.039445771
383254:9905,07/16/24 03:16:42,1228,HLT_DiPFJetAve260_HFJEC_v9,0.586382137,0.545002515
383255:9905,07/16/24 11:15:11,915,HLT_DiPFJetAve260_HFJEC_v9,0.321410769,0.308294311
383275:9906,07/16/24 20:29:35,177,HLT_DiPFJetAve260_HFJEC_v9,0.076443056,0.066804348
383276:9906,07/16/24 21:41:35,292,HLT_DiPFJetAve260_HFJEC_v9,0.142594866,0.132986862
383277:9906,07/16/24 23:40:05,676,HLT_DiPFJetAve260_HFJEC_v9,0.329269523,0.308858990
383323:9910,07/17/24 13:35:57,1265,HLT_DiPFJetAve260_HFJEC_v9,0.602901695,0.561081782
383325:9910,07/17/24 22:12:32,2,HLT_DiPFJetAve260_HFJEC_v9,0.000820292,0.000113337
383326:9910,07/17/24 22:14:32,516,HLT_DiPFJetAve260_HFJEC_v9,0.182710473,0.171528612
383327:9910,07/18/24 01:38:47,60,HLT_DiPFJetAve260_HFJEC_v9,0.018147564,0.017454852
383328:9910,07/18/24 02:04:59,3,HLT_DiPFJetAve260_HFJEC_v9,0.000881567,0.000000018
383331:9910,07/18/24 02:18:27,117,HLT_DiPFJetAve260_HFJEC_v9,0.033084117,0.032023763
383332:9910,07/18/24 03:05:38,8,HLT_DiPFJetAve260_HFJEC_v9,0.002192108,0.001905483
383363:9911,07/18/24 09:52:44,744,HLT_DiPFJetAve260_HFJEC_v9,0.348421884,0.324692503
383364:9911,07/18/24 14:43:02,2,HLT_DiPFJetAve260_HFJEC_v9,0.000980843,0
383365:9911,07/18/24 14:47:25,54,HLT_DiPFJetAve260_HFJEC_v9,0.026354392,0.023112098
383366:9911,07/18/24 15:11:12,27,HLT_DiPFJetAve260_HFJEC_v9,0.013257732,0.011436310
383367:9911,07/18/24 15:24:35,207,HLT_DiPFJetAve260_HFJEC_v9,0.101111023,0.093237964
383368:9911,07/18/24 17:06:15,1065,HLT_DiPFJetAve260_HFJEC_v9,0.377239204,0.362904421
383377:9912,07/19/24 03:48:39,279,HLT_DiPFJetAve260_HFJEC_v9,0.125675741,0.117506218
383417:9917,07/20/24 01:05:27,780,HLT_DiPFJetAve260_HFJEC_v9,0.368122906,0.341367581
383418:9917,07/20/24 06:11:07,917,HLT_DiPFJetAve260_HFJEC_v9,0.389630378,0.368562946
383447:9920,07/20/24 20:44:24,474,HLT_DiPFJetAve260_HFJEC_v9,0.219744975,0.204785081
383448:9920,07/20/24 23:49:52,465,HLT_DiPFJetAve260_HFJEC_v9,0.226771260,0.208832827
383449:9920,07/21/24 02:51:34,1251,HLT_DiPFJetAve260_HFJEC_v9,0.453146989,0.434275997
383467:9921,07/21/24 13:30:14,177,HLT_DiPFJetAve260_HFJEC_v9,0.074930827,0.068788355
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve260_v21,0.000001966,0.000001939
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve260_v21,0.000000600,0.000000586
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve260_v21,0.000003942,0.000003564
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve260_v21,0.000000645,0.000000636
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve260_v21,0.000005925,0.000005786
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve260_v21,0.000002961,0.000002899
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve260_v21,0.000077788,0.000075764
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve260_v21,0.000032523,0.000031771
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve260_v21,0.000090088,0.000087921
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve260_v21,0.000137375,0.000132595
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve260_v21,0.000152409,0.000149888
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve260_v21,0.000357146,0.000348799
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve260_v21,0.000061668,0.000060825
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve260_v21,0.000100788,0.000091197
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve260_v21,0.000407063,0.000388083
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve260_v21,0.000023569,0.000022403
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve260_v21,0.000329875,0.000309884
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve260_v21,0.000876243,0.000827464
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve260_v21,0.000304297,0.000286426
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve260_v21,0.000011297,0.000010292
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve260_v21,0.000438472,0.000412710
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve260_v21,0.000848437,0.000771574
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve260_v21,0.001670842,0.001569766
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve260_v21,0.001391504,0.001308777
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve260_v21,0.001499537,0.001401210
